locality,year,price,total_taxable_income,num_taxable_income,taxable_income_per_person,num_tax_payers,total_tax,tax_per_person,num_salary_earners,total_salary,salary_per_person,postcode
ABBOTSFORD,2021,1375000,1779826373,16573,107393.13178060701,14317,504227326,35218.783683732625,13136,1277522353,97253.5287,2046
ABERFELDIE,2021,1700000,1874714219,17616,106421.1068914623,15261,538402454,35279.63134788022,14137,1174976595,83113.57395,3040
AINTREE,2021,717500,,,,,,,,,,
AIREYS INLET,2021,1522000,76999943,981,78491.27726809378,796,19684764,24729.603015075376,628,40449856,64410.59872611465,3231
AIRPORT WEST,2021,889500,755018651,10031,75268.53264878875,8710,172542612,19809.714351320323,8313,627389954,75470.94358234091,3042
ALBANVALE,2021,579000,1324521537,27263,48583.11766863515,22340,224190331,10035.37739480752,22735,1149396440,50556.25423356059,3021
ALBERT PARK,2021,2390000,444172477,7442,59684.55751142166,6532,84946018,13004.595529699938,6292,388807441,61793.93531468532,5014
ALBION,2021,950000,207335862,2691,77047.88628762541,2429,47083256,19383.802387813914,2297,174473308,75957.03439268611,4010
ALEXANDRA,2021,402500,122227254,2139,57142.24123,1728,24980081,14456.065393518518,1535,83779751,54579.64234527687,3714
ALFREDTON,2021,585000,,,,,,,,,,
ALLANSFORD,2021,,77409551,1153,67137.51171,1006,17050600,16948.906560636184,849,49984040,58874.01648998822,3277
ALPHINGTON,2021,2600000,805200316,7931,101525.6986508637,6974,221952303,31825.68153140235,6546,589222706,90012.63458600672,3078
ALTONA,2021,957500,241174380,3760,64142.12234042553,3232,49524620,15323.211633663366,3037,190638401,62771.94632861376,5351
ALTONA EAST,2021,910500,,,,,,,,,,
ALTONA MEADOWS,2021,640000,999066345,16154,61846.37520118856,13844,198735739,14355.369763074255,13929,897363906,64424.14430325221,3028
ALTONA NORTH,2021,865000,521073399,6833,76258.36367627689,5977,120008213,20078.335787184205,5706,432377753,75775.98194882579,3025
ANGLESEA,2021,1200000,143042099,1901,75245.71225670699,1525,35646416,23374.699016393442,1246,82755650,66417.05457463884,3230
APOLLO BAY,2021,862500,112894822,1918,58860.69968717414,1572,23026093,14647.641857506362,1398,80742261,57755.55150214592,7150
ARARAT,2021,286000,,,,,,,,,,
ARDEER,2021,658000,110726523,1930,57371.255440414505,1625,21022795,12937.104615384615,1632,98107771,60115.05575980392,3022
ARMADALE,2021,2197500,923081878,6676,138268.70551228282,5890,292052052,49584.38913412564,4985,508057559,101917.26359077232,3143
ARMSTRONG CREEK,2021,597500,846708231,9017,93901.32316735057,7569,227115878,30006.061302681992,6806,595999495,87569.71716132824,4520
ASCOT (GREATER BENDIGO),2021,463000,,,,,,,,,,
ASCOT VALE,2021,1175000,1627561339,19444,83705.06783583625,16842,404704862,24029.501365633536,16464,1296118633,78724.40676627794,3032
ASHBURTON,2021,1650000,882451960,9297,94917.92621,7769,238496870,30698.528768181233,7281,655380159,90012.38277709106,3147
ASHWOOD,2021,1350000,882451960,9297,94917.92621,7769,238496870,30698.528768181233,7281,655380159,90012.38277709106,3147
ASPENDALE,2021,1150000,1878124210,23164,81079.44266965982,19762,455902876,23069.672907600445,18885,1503287284,79602.18607360339,3195
ASPENDALE GARDENS,2021,1070000,1878124210,23164,81079.44266965982,19762,455902876,23069.672907600445,18885,1503287284,79602.18607360339,3195
ATTWOOD,2021,880000,373844433,5825,64179.30180257511,4997,77099323,15429.122073243947,4934,327057426,66286.46655857317,3049
AVENEL,2021,500000,42310673,696,60791.19683908046,574,9048781,15764.426829268292,525,29663187,56501.30857142857,3664
AVOCA,2021,268000,7247471,156,46458.14743589744,127,1311194,10324.36220472441,122,5812323,47641.99180327869,7213
AVONDALE HEIGHTS,2021,841000,470806218,6669,70596.22402159244,5627,105471554,18743.834014572596,5209,373816839,71763.64734114033,3034
AVONSLEIGH,2021,752000,348478731,4907,71016.65600163033,4091,79713264,19485.03153263261,3879,267256715,68898.35395720547,3782
BACCHUS MARSH,2021,555000,1069612697,15104,70816.51860434322,13057,239958455,18377.763268744733,12767,868437910,68022.08114670635,3340
BADGER CREEK,2021,626500,375274132,6242,60120.81576417815,5224,76463615,14636.98602603369,4838,288295119,59589.73108722613,3777
BAIRNSDALE,2021,327000,,,,,,,,,,
BALACLAVA,2021,1272500,1246503477,10690,116604.62834424696,9036,395275928,43744.56927844179,8421,560978738,66616.64149150932,2575
BALCOMBE,2021,1458000,,,,,,,,,,
